"text","sentiment","subject","topic","gender"
"Look what @marcorubio team posted in the women's restroom and on cars at packed @tedcruz event #keepitclassy https://t.co/0","neutral","objective","Sports","male"
"Cute moment between @marcorubio and his adorable son last night  https://t.co/DqAX0cZmYM","positive","objective","Arts","female"
"Former #NRA President: @MarcoRubio Wasnt a Friend to Gun Owners in FL! #MarcosMistakes #2A #VOAV #SCPrimary https://t.co","neutral","objective","News","male"
" When I think about a conservative, not just a Republican who can inspire a new generation of voters  @ma","positive","subjective","News","male"
"Where's #Marco? @MarcoRubio Racks up the Worst Missed-Vote Record in the US Senate! #MarcosMistakes #SCPrimary #VOAV https","negative","objective","Recreation & Activities","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"In Florida, @MarcoRubio worked to stop eminent domain abuse, like @realDonaldTrump used https://t.co/xv3abm6vSe  #DumpTrump #SC","neutral","objective","Health","male"
"@MarcoRubio Wont Reveal His Position on TPP Until AFTER the Primaries! He Voted For It! #MarcosMistakes #VOAV https://t.co","positive","objective","News","male"
"Who Knew @MarcoRubio Supports Giving My Money 2 ILLEGALS 4 College! #MarcosMistakes #SCPrimary #VOAV https://t.co/tBAZM0hQ","negative","objective","News","female"
"@marcorubio is lying about Cruz and what happened in Iowa. Rubio is hiding what his own campaign did in Iowa. https://t.c","negative","objective","News","male"
"BREAKING: Senior Senate Staffer Reveals the @MarcoRubio Directly Misled Law Enforcement! #SCPrimary #MarcosMistakes https","neutral","objective","News","male"
"@marcorubio @BillClinton being a Rhodes Scholar most likely studied #TheArtofWar and had a clue about keeping us out of a costly war.","neutral","subjective","News","male"
"Where's #Marco? @MarcoRubio Racks up the Worst Missed-Vote Record in the US Senate! #MarcosMistakes #SCPrimary #VOAV https://","negative","objective","Recreation & Activities","male"
"Wow: Ted Cruz's super PAC ran an attack on @marcorubio so dishonest that it had to be pulled over legal concerns. https:/","negative","subjective","News","male"
"@tedcruz on @realDonaldTrump and  When anyone points to their actual records they get very upset and begin screaming","negative","objective","News","male"
"@marcorubio will prevail, it's becoming apparent. https://t.co/vpV7YGp8Z7","neutral","subjective","News","male"
"Think #incomeinequality is bad now? @MarcoRubio's insane tax plan funnels even more money to the Top 1% #DemDebate https:","positive","subjective","Home & Domestic Life","male"
"Did you know? @MarcoRubio Endorsed Mitch McConnell for Reelection? #RINO #GOPe #MarcosMistakes #VOAV #SCPrimary https://t.co","positive","subjective","News","female"
"@MarcoRubio Has a History of Raising Taxes and Lying About It! He Can't Be Trusted!#MarcosMistakes#SCPrimary #VOAV https:","negative","subjective","Home & Domestic Life","male"
"AWESOME!!! What REAL Conservatism Looks Like: @MarcoRubio in South Carolina: \"We're All In This Together\" https://t.co/UTCJ","positive","subjective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/nk5ArusH4c","positive","objective","Shopping","male"
"@waconia3 @PoliticalLaughs @ryanr814 @RightForRubio @tedcruz @marcorubio All cults are horrible I haven't met other Trump supports like that","negative","subjective","Arts","female"
"@JournalismJudge @tedcruz @marcorubio Sound familiar? Establishment gives themselves away. Rubio wastes millions on bill not meant to pass?","neutral","subjective","News","male"
"Look what @marcorubio team posted in the women's restroom and on cars at packed @tedcruz event #keepitclassy https://t.co/0","neutral","objective","Sports","male"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https://t","neutral","objective","News","male"
"@luckyone6565 
My~my @marcorubio U were my kid~soap in the mouth 
@TGowdySC @SenatorTimScott 
#SouthCarolinaPrimary  https://t.co/KsEnfuVlEQ","negative","objective","Shopping","female"
"Ready for the Nevada Caucuses on February 23rd? Attend a caucus training this week to learn more: https://t.co/fFJFjbw0Lt #","neutral","objective","Reference & Education","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/F5YBU5Wb1M","positive","objective","Shopping","male"
"@seanhannity @marcorubio @SenatorTimScott @TGowdySC way to call out Trump on dirty politics Sean. Your sacred like Scarborough","neutral","subjective","News","male"
"@marcorubio had the opportunity to vote to defund Planned Parenthood, he did not.","positive","objective","News","male"
"@Lea_in_Indy @tedcruz @marcorubio -I felt exactly the same way! Low info republicans might be deceived. Thanks for your sharing your views!","positive","subjective","Computers & Technology","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"@seanhannity @marcorubio @SenatorTimScott @TGowdySC endorsements mean Nothing to We The People! They are all establishment!","negative","objective","News","male"
"@MarcoRubio's Scandal-Ridden Gang Wont Leave Him Alone! #Rubio's Past Comes To Haunt! #MarcosMistakes #VOAV https://t.co","negative","objective","Society","male"
"Who Knew @MarcoRubio Supports Giving My Money 2 ILLEGALS 4 College! #MarcosMistakes #SCPrimary #VOAV https://t.co/tBAZM0hQ","negative","objective","News","female"
"#Senate TRUMP: Marco Rubio sweats too much to negotiate with Vladimir Putin https://t.co/WpklKB3d5B @MarcoRubio","negative","subjective","Science","male"
"Did you know? @MarcoRubio Endorsed Mitch McConnell for Reelection? #RINO #GOPe #teaparty #liberty #VOAV #SCPrimary https://t","positive","subjective","News","female"
"Where's #Marco? @MarcoRubio Racks up the Worst Missed-Vote Record in the US Senate! #MarcosMistakes #SCPrimary #VOAV https","negative","objective","Recreation & Activities","male"
"Cruz and Trump can keep their brand of conservative...I've no interest in closing the doors on the tent. @marcorubio is ","neutral","subjective","News","male"
"Reagan was able to instill in our nation a sense of optimism -- and he turned our country around. https://t.co/FR6YoFjIy9","neutral","objective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/F5YBU5Wb1M","positive","objective","Shopping","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t","negative","objective","News","male"
"@FoxNews  @marcorubio @TGowdySC @SenatorTimScott How can you wrap yourselves in the constitution denying the President his right . #shame","neutral","objective","News","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"@marcorubio can't wait for you to make it back down to Florida!!","positive","subjective","Home & Domestic Life","female"
"In Florida, @MarcoRubio worked to stop eminent domain abuse, like @realDonaldTrump used https://t.co/xv3abm6vSe  #DumpTrump #SC","neutral","objective","Health","male"
"Marco Rubio Has Always Voted Against Funding Planned Parenthood https://t.co/EwE5VrhG08 @marcorubio https://t.co/49midMwryZ","neutral","objective","News","male"
"@toddstarnes @LisaMKnight @marcorubio @KerryPicket Rubio and fox are corrupted and they are all liars, not Cruz.","negative","objective","News","male"
"@MarcoRubio's Illustrious Company On Bill Gates' Campaign Contribution List! Herd of #RINO's! #MarcosMistakes #VOAV htt","neutral","subjective","Business & Economy","male"
"@Norsu2 @marcorubio Rubio did support it sorry ","negative","subjective","News","female"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https://t","neutral","objective","News","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"@ChrisAbrell @FoxNews @SenatorTimScott @marcorubio so was the old lady in Atlantic City he tried to bully her 4 her home thru eminent domain","negative","objective","News","female"
"There is no question which candidate is running the most adult and most serious campaign: @MarcoRubio. He understands the issues. #SCPrimary","neutral","subjective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/nk5ArusH4c","positive","objective","Shopping","male"
"I'm joining @marcorubio and his fight for a New American Century #marco https://t.co/jyiSQOtkp6","neutral","objective","Arts","female"
"@O_J_Nav @realDonaldTrump @marcorubio Marco Roboto is a loser like you troll!","positive","subjective","News","male"
"@FoxNews @marcorubio @TGowdySC @SenatorTimScott  Trump is far fiercer !!!!!!!!!!!!!!","neutral","subjective","News","male"
"@MarcoRubio Has a History of Raising Taxes and Lying About It! He Can't Be Trusted!#MarcosMistakes#SCPrimary #VOAV https:","negative","subjective","Home & Domestic Life","male"
"Where's #Marco? @MarcoRubio Racks up the Worst Missed-Vote Record in the US Senate! #MarcosMistakes #SCPrimary #VOAV https://","negative","objective","Recreation & Activities","male"
"Sen. @marcorubio has picked up some key endorsements. He joins me along w/ @SenatorTimScott and Rep @TGowdySC NEXT on #Hanni","neutral","objective","News","male"
"Marco Rubio Has Always Voted Against Funding Planned Parenthood https://t.co/EwE5VrhG08 @marcorubio https://t.co/49midMwryZ","neutral","objective","News","male"
"@MarcoRubio, Please Call Dan Quayle. All Rhetoric, No Substance! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/2rH4D","negative","subjective","Society","male"
"@TGowdySC @marcorubio @SenatorTimScott be like \"Bring it on Dems\" #BadBoyz #MarcoRubio #Rubio2016 #LatinosConMarco https:/","positive","subjective","News","female"
" \"A conservative that can inspire a new generation of voters: @MarcoRubio\" https://t.co/JNkqbO397f","neutral","objective","News","male"
"What is @MarcoRubio Association w/ @RepRivera and #RalphArza? 2 Scandals, No Media Attention! #MarcosMistakes #VOAV https://","neutral","subjective","Recreation & Activities","male"
" \"A conservative that can inspire a new generation of voters: @MarcoRubio\" https://t.co/JNkqbO397f","neutral","objective","News","male"
"Team Marco Donor Big DEM Backer! Bankrolled RAHM Emanuel! TWICE! @MarcoRubio #MarcosMistakes #SCPrimary #VOAV https://t.co","neutral","objective","News","male"
"@marcorubio Bush 2 never spent enough time in USAF to be required to take advanced officer courses w/ #TheArtofWar to make higher ranks.","positive","objective","News","male"
"Marco Rubio Has Always Voted Against Funding Planned Parenthood https://t.co/EwE5VrhG08 @marcorubio https://t.co/49midMwryZ","neutral","objective","News","male"
"@tedcruz and @marcorubio trying to act like their family tree doesn't look like a #Pitbull video. #lies #mentirosos #fake","negative","subjective","Home & Domestic Life","female"
"@tedcruz on @realDonaldTrump and  When anyone points to their actual records they get very upset and begin screaming","negative","objective","News","male"
"@marcorubio @govsambrownback More losers who are backing Rubio. Rubio will lose because of his beliefs.","negative","objective","News","male"
"@GTHOMSE @marcorubio @thehill A madman with severe personality disorders running for President and 50% of the electorate follows him.  Help!","neutral","objective","Health","male"
"Sen. @marcorubio has picked up some key endorsements. He joins me along w/ @SenatorTimScott and Rep @TGowdySC NEXT on #Hanni","neutral","objective","News","male"
" Without any question, head and shoulders above the other candidates was @marcorubio. #Hannity https://t.co/","negative","subjective","News","male"
"@tedcruz @RealBenCarson @marcorubio @JohnKasich UNITE!!! Fight off liars Trump and Clinton!  We need 1 or 2 of you in WH! #UNITE #POTUS","neutral","subjective","News","male"
"@seanhannity nay MrG8 @marcorubio i just cant vote for sellout that now tries to hide his allegiance to the #WashingtonCartel by not voting","positive","objective","News","female"
"@JohnKasich @marcorubio @JebBush The Republican Strategy on Scalia's Vacated SCOTUS Seat is Risky https://t.co/xZEqV5ANWl","neutral","subjective","News","male"
"@MarcoRubio's Illustrious Company On Bill Gates' Campaign Contribution List! Herd of #RINO's! #MarcosMistakes #VOAV https","neutral","subjective","Business & Economy","male"
"Which @GOP candidate do u trust the most? @realDonaldTrump @tedcruz @marcorubio @JebBush","neutral","subjective","News","male"
"@MarcoRubio, Please Call Dan Quayle. All Rhetoric, No Substance! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/T4iR","negative","subjective","Society","male"
"Former #NRA President: @MarcoRubio Wasnt a Friend to Gun Owners in FL! #MarcosMistakes #2A #VOAV #SCPrimary https://t.co/W","neutral","objective","News","male"
"BREAKING: No, You Can't Trust @MarcoRubio To Protect Your Guns! #2A #NRA #MarcosMistakes #NHPrimary #VOAV https://t.co/PF","neutral","subjective","Business & Economy","female"
"In Florida, @MarcoRubio worked to stop eminent domain abuse, like @realDonaldTrump used https://t.co/xv3abm6vSe  #DumpTrump #SC","neutral","objective","Health","male"
"Did you know? @MarcoRubio Endorsed Mitch McConnell for Reelection? #RINO #GOPe #MarcosMistakes #VOAV #SCPrimary https://t.c","positive","subjective","News","female"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #NHPrimary #VOAV https://","negative","objective","News","male"
"@blusie @PoliticalLaughs @ryanr814 @RightForRubio @tedcruz @marcorubio Your Trump Cult is actually even worse than the Cruzers.","negative","subjective","News","male"
"After Saturday's #GOPDebate @marcorubio took a victory lap on all 5 major Sunday shows! Get the highlights: https://t.co/X","neutral","objective","Sports","male"
"Uh Oh, Was @MarcoRubio Guilty in the Carson Dropout Rumor? It looks to be so! #TCOT #SCPrimary #MarcosMistakes #VOAV https:","negative","subjective","News","female"
"#TedCruz: Democrats Will Win if @MarcoRubio is GOP Nominee! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/fLPhbgH6VH","negative","subjective","Science","male"
"@MarcoRubio donors incl Bill Gates and Paul Singer-Pro #CommonCore, Pro Gay-Marriage, Pro #Amnesty. #SCPrimary #VOAV https:/","neutral","objective","Society","male"
"@fuenteslegal I heard @SenSessions on @marklevinshow, too. @marcorubio has been lying desperately so much and that disqual","negative","subjective","News","male"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https://t","neutral","objective","News","male"
"I'm so proud to support @MarcoRubio.  He's running the best, most adult, issues oriented campaign.  Please #SCPrimary voter","positive","subjective","Health","female"
"@MarcoRubio Immigration Is a Deal-Breaker! - No to #Rubio2016! #MarcosMistakes #VOAV #SCPrimary #SCGOP https://t.co/tenK","neutral","subjective","Society","female"
"@BrentRosenbaum @RepublicanVzlan @arpitpatel34 @marcorubio The call says Cruz the only alternative to Trump. These men are nuts. James/Tony","neutral","objective","News","male"
"@BradleyWasson @tedcruz Lost all respect for @marcorubio at Sat. debate. Everything Ted said about Marco was true! Marco s","negative","objective","News","male"
